"index","position","effect"
12302,"7166400-1",-0.101853696842467
26343,"16332306-1",-0.322344945355592
35766,"21999704-1",2.34883251855679e-05
35826,"22021788-1",-1.95716257167978
47165,"27313590-1",-0.303634961867903
50747,"29778445-1",0.261387028597158
74669,"15841267-2",-0.388996862423404
133846,"5316724-4",-0.972527368229809
144088,"9339346-4",0.299386829799638
151803,"12854255-4",-1.76149231117545
161417,"310343-5",-0.131784967043495
164320,"1823183-5",-0.0289851395709823
165759,"2798826-5",-0.0232000379697346
168681,"4414045-5",2.5230890527773
170728,"5582957-5",-0.0716954429826331
170878,"5649230-5",0.276921148777167
176414,"8140762-5",0.0542415996775022
179411,"9418993-5",-0.328093033383797
190737,"15775330-5",0.110810532212094
201676,"20127189-5",-0.544884912941638
